Solución Final Output_Unipista/resultados_airland7_SEED4096.txt:
Seed utilizada: 4996
Cantidad de Restarts: 10
Costo Total (Penalidad): 3974.00

--- ORDEN Y TIEMPOS DE ATERRIZAJE (PISTA ÚNICA) ---
Orden  1 | Avión:  0 | T. Objetivo:    0.00 | T. Real:    0.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 24 | Avión: 23 | T. Objetivo: 2663.00 | T. Real: 2729.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 25 | Avión: 24 | T. Objetivo: 2863.00 | T. Real: 2929.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 26 | Avión: 25 | T. Objetivo: 2943.00 | T. Real: 3009.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 27 | Avión: 26 | T. Objetivo: 3023.00 | T. Real: 3089.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 28 | Avión: 27 | T. Objetivo: 3103.00 | T. Real: 3169.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 29 | Avión: 28 | T. Objetivo: 3175.00 | T. Real: 3241.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 30 | Avión: 29 | T. Objetivo: 3271.00 | T. Real: 3337.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 31 | Avión: 30 | T. Objetivo: 3471.00 | T. Real: 3537.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 32 | Avión: 31 | T. Objetivo: 3543.00 | T. Real: 3609.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 33 | Avión: 32 | T. Objetivo: 3743.00 | T. Real: 3809.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 34 | Avión: 33 | T. Objetivo: 3815.00 | T. Real: 3881.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 35 | Avión: 34 | T. Objetivo: 3911.00 | T. Real: 3977.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 36 | Avión: 35 | T. Objetivo: 4111.00 | T. Real: 4177.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 37 | Avión: 36 | T. Objetivo: 4191.00 | T. Real: 4257.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 38 | Avión: 37 | T. Objetivo: 4271.00 | T. Real: 4337.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 39 | Avión: 38 | T. Objetivo: 4343.00 | T. Real: 4409.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 40 | Avión: 39 | T. Objetivo: 4439.00 | T. Real: 4505.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 41 | Avión: 40 | T. Objetivo: 4535.00 | T. Real: 4601.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 42 | Avión: 41 | T. Objetivo: 4631.00 | T. Real: 4697.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 43 | Avión: 42 | T. Objetivo: 4727.00 | T. Real: 4793.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 44 | Avión: 43 | T. Objetivo: 4927.00 | T. Real: 4993.00 | Desvío:  66.00s | Penalidad: 66.00

Tiempo Total de Ejecución: 3.07 ms
