Solución Final Output_Unipista/resultados_airland9_SEED4096.txt:
Seed utilizada: 4996
Cantidad de Restarts: 20
Costo Total (Penalidad): 10536.31

--- ORDEN Y TIEMPOS DE ATERRIZAJE (PISTA ÚNICA) ---
Orden  1 | Avión:  0 | T. Objetivo:  908.00 | T. Real:  908.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 55 | Avión: 54 | T. Objetivo: 6223.00 | T. Real: 6281.00 | Desvío:  58.00s | Penalidad: 69.60
Orden 56 | Avión: 58 | T. Objetivo: 6344.00 | T. Real: 6349.00 | Desvío:   5.00s | Penalidad: 9.35
Orden 57 | Avión: 56 | T. Objetivo: 6404.00 | T. Real: 6462.00 | Desvío:  58.00s | Penalidad: 87.00
Orden 58 | Avión: 55 | T. Objetivo: 6521.00 | T. Real: 6530.00 | Desvío:   9.00s | Penalidad: 9.81
Orden 59 | Avión: 57 | T. Objetivo: 6455.00 | T. Real: 6598.00 | Desvío: 143.00s | Penalidad: 188.76
Orden 60 | Avión: 59 | T. Objetivo: 6867.00 | T. Real: 6867.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 61 | Avión: 60 | T. Objetivo: 6972.00 | T. Real: 6972.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 62 | Avión: 61 | T. Objetivo: 7439.00 | T. Real: 7439.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 63 | Avión: 62 | T. Objetivo: 7635.00 | T. Real: 7635.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 64 | Avión: 63 | T. Objetivo: 7824.00 | T. Real: 7824.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 65 | Avión: 66 | T. Objetivo: 8080.00 | T. Real: 8080.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 66 | Avión: 65 | T. Objetivo: 8124.00 | T. Real: 8170.00 | Desvío:  46.00s | Penalidad: 69.00
Orden 67 | Avión: 64 | T. Objetivo: 8162.00 | T. Real: 8283.00 | Desvío: 121.00s | Penalidad: 217.80
Orden 68 | Avión: 68 | T. Objetivo: 8291.00 | T. Real: 8351.00 | Desvío:  60.00s | Penalidad: 111.00
Orden 69 | Avión: 67 | T. Objetivo: 8149.00 | T. Real: 8419.00 | Desvío: 270.00s | Penalidad: 340.20
Orden 70 | Avión: 71 | T. Objetivo: 8455.00 | T. Real: 8487.00 | Desvío:  32.00s | Penalidad: 48.96
Orden 71 | Avión: 69 | T. Objetivo: 8349.00 | T. Real: 8577.00 | Desvío: 228.00s | Penalidad: 232.56
Orden 72 | Avión: 70 | T. Objetivo: 8715.00 | T. Real: 8715.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 73 | Avión: 72 | T. Objetivo: 8903.00 | T. Real: 8903.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 74 | Avión: 73 | T. Objetivo: 9293.00 | T. Real: 9293.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 75 | Avión: 74 | T. Objetivo: 9508.00 | T. Real: 9508.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 76 | Avión: 76 | T. Objetivo: 9796.00 | T. Real: 9796.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 77 | Avión: 75 | T. Objetivo: 9988.00 | T. Real: 9988.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 78 | Avión: 78 | T. Objetivo: 10108.00 | T. Real: 10108.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 79 | Avión: 77 | T. Objetivo: 10300.00 | T. Real: 10300.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 80 | Avión: 84 | T. Objetivo: 10515.00 | T. Real: 10515.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 81 | Avión: 79 | T. Objetivo: 10666.00 | T. Real: 10666.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 82 | Avión: 80 | T. Objetivo: 10704.00 | T. Real: 10734.00 | Desvío:  30.00s | Penalidad: 55.20
Orden 83 | Avión: 81 | T. Objetivo: 10779.00 | T. Real: 10847.00 | Desvío:  68.00s | Penalidad: 85.68
Orden 84 | Avión: 83 | T. Objetivo: 10943.00 | T. Real: 10943.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 85 | Avión: 82 | T. Objetivo: 10944.00 | T. Real: 11011.00 | Desvío:  67.00s | Penalidad: 131.32
Orden 86 | Avión: 85 | T. Objetivo: 11112.00 | T. Real: 11112.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 87 | Avión: 87 | T. Objetivo: 11071.00 | T. Real: 11225.00 | Desvío: 154.00s | Penalidad: 169.40
Orden 88 | Avión: 86 | T. Objetivo: 11288.00 | T. Real: 11293.00 | Desvío:   5.00s | Penalidad: 8.15
Orden 89 | Avión: 89 | T. Objetivo: 11335.00 | T. Real: 11361.00 | Desvío:  26.00s | Penalidad: 48.10
Orden 90 | Avión: 88 | T. Objetivo: 11353.00 | T. Real: 11451.00 | Desvío:  98.00s | Penalidad: 172.48
Orden 91 | Avión: 90 | T. Objetivo: 11428.00 | T. Real: 11541.00 | Desvío: 113.00s | Penalidad: 169.50
Orden 92 | Avión: 91 | T. Objetivo: 11713.00 | T. Real: 11713.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 93 | Avión: 92 | T. Objetivo: 11959.00 | T. Real: 11959.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 94 | Avión: 93 | T. Objetivo: 12035.00 | T. Real: 12072.00 | Desvío:  37.00s | Penalidad: 65.86
Orden 95 | Avión: 94 | T. Objetivo: 12031.00 | T. Real: 12140.00 | Desvío: 109.00s | Penalidad: 115.54
Orden 96 | Avión: 95 | T. Objetivo: 12393.00 | T. Real: 12393.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 97 | Avión: 97 | T. Objetivo: 12387.00 | T. Real: 12461.00 | Desvío:  74.00s | Penalidad: 93.24
Orden 98 | Avión: 98 | T. Objetivo: 12550.00 | T. Real: 12574.00 | Desvío:  24.00s | Penalidad: 44.16
Orden 99 | Avión: 96 | T. Objetivo: 12655.00 | T. Real: 12655.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 100 | Avión: 99 | T. Objetivo: 12691.00 | T. Real: 12723.00 | Desvío:  32.00s | Penalidad: 48.64

Tiempo Total de Ejecución: 2432.92 ms
